time,ax,ay,az
8.72,-0.657791,1.70803,0.092725
8.74,-0.501857,1.36819,0.170481
8.76,-0.584183,0.819059,0.648713
8.78,-0.430933,0.64667,0.691857
8.8,-0.348007,-0.194727,0.78999
8.82,-0.389651,0.070611,0.664106
8.84,-0.378896,0.101764,0.916661
8.86,-0.417234,0.048453,0.71375
8.88,-0.202837,0.079585,0.715087
8.9,-0.023656,-0.152061,0.734188
8.92,0.20528,-0.206644,0.458187
8.94,0.300461,0.140497,0.289454
8.96,0.505401,0.068758,0.695878
8.98,0.373366,0.549825,0.141015
9.0,0.435277,1.820986,0.201624
9.02,0.539537,3.022195,-0.323261
9.04,0.594273,4.447154,-0.275957
9.06,0.424964,4.781212,-0.379388
9.08,0.571313,3.579601,-0.659236
9.1,0.291408,2.480288,-0.79787
9.12,-0.03307,1.403731,-0.764759
9.14,0.339997,0.551148,-0.76786
9.16,0.212495,0.521771,-0.715022
9.18,0.392023,0.620611,-0.656309
9.2,0.03923,0.893162,-0.726571
9.22,-0.555171,1.589429,-0.33625
9.24,-0.331285,1.490898,-0.116978
9.26,-0.34252,1.742081,-0.087088
9.28,-0.473774,1.55542,0.184892
9.3,-0.761729,1.014022,0.082782
9.32,-0.49732,0.730662,0.412404
9.34,-0.510526,0.001615,0.696722
9.36,-0.559894,0.157697,0.847207
9.38,-0.513082,0.286212,0.775743
9.4,-0.284824,0.12516,0.608735
9.42,-0.074655,0.015803,0.949344
9.44,-0.062668,-0.071924,0.807017
9.46,0.096109,-0.232039,0.641856
9.48,0.424969,-0.001467,0.425576
9.5,0.460062,-0.288268,0.094968
9.52,0.451928,0.341772,0.281889
9.54,0.395457,0.844208,-0.137837
9.56,0.612163,1.607244,-0.130936
9.58,0.638811,2.937356,-0.361917
9.6,0.707594,4.633542,-0.669682
9.62,0.600132,4.140132,-0.783799
9.64,0.720351,3.572302,-0.810911
9.66,0.421088,2.221328,-0.736191
9.68,0.61284,1.147957,-1.246545
9.7,0.105684,0.362763,-0.821797
9.72,0.017098,0.336698,-0.907183
9.74,0.084685,0.851583,-0.760399
9.76,-0.146678,1.288177,-0.351422
9.78,-0.523055,1.719589,-0.486828
9.8,-0.289051,1.749593,-0.57041
9.82,-0.531002,1.363852,-0.0845
9.84,-0.591708,1.312823,-0.094605
9.86,-0.767312,0.779955,0.265035
9.88,-0.393086,0.685559,0.389841
9.9,-0.351815,-0.011473,0.698373
9.92,-0.498058,0.153587,0.795995
9.94,-0.478551,0.196512,0.76776
9.96,0.0995,-0.050437,0.989279
9.98,-0.037499,-0.23231,0.99204
10.0,-0.159062,-0.445888,0.864846
10.02,0.294905,0.014635,0.609058
10.04,0.499822,0.167238,0.428169
10.06,0.486345,-0.135879,0.294216
10.08,0.314104,-0.045261,0.033719
10.1,0.726245,0.846611,-0.050655
10.12,0.412215,2.395283,-0.148056
10.14,0.673564,3.552881,-0.496423
10.16,0.436888,4.603407,-0.485572
10.18,0.652465,3.617112,-0.442337
10.2,0.388213,3.580727,-0.78634
10.22,0.368999,1.946942,-0.905812
10.24,0.379536,0.734643,-0.606337
10.26,0.238807,0.564515,-0.892851
10.28,-0.046664,0.564725,-1.033789
10.3,-0.231976,1.005213,-0.826451
10.32,-0.083901,1.12602,-0.462759
10.34,-0.560383,1.731941,-0.290815
10.36,-0.310484,2.070359,-0.002821
10.38,-0.517807,1.42126,0.186813
10.4,-0.784993,1.210642,0.278511
10.42,-0.53304,1.169667,0.338477
10.44,-0.832739,0.414264,0.51906
10.46,-0.581966,0.500225,0.58456
10.48,-0.667928,0.178343,0.546627
10.5,-0.097687,0.081926,0.568746
10.52,-0.072915,0.481559,0.49939
10.54,0.030447,0.098597,0.806353
10.56,0.081646,0.099269,0.616315
10.58,0.37542,-0.263492,0.917619
10.6,0.518205,-0.201645,0.494813
10.62,0.612586,0.054159,0.317799
10.64,0.429447,0.736919,0.080113
10.66,0.553572,1.391656,-0.039494
10.68,0.462047,2.257297,-0.415286
10.7,0.421845,3.490608,-0.466219
10.72,0.620145,4.504048,-0.632624
10.74,0.369407,3.865456,-0.842343
10.76,0.257126,2.98581,-0.938071
10.78,0.342959,1.433979,-0.419351
10.8,-0.048664,0.767681,-0.849851
10.82,-0.025534,0.505413,-0.75195
10.84,-0.205532,0.641226,-0.652913
10.86,0.018196,0.787195,-0.390485
10.88,-0.331697,0.952547,-0.40122
10.9,-0.422967,1.518867,-0.183893
10.92,-0.569102,1.999076,-0.163979
10.94,-0.448049,1.736189,0.099429
10.96,-0.749083,1.383781,0.210297
10.98,-0.297341,0.852566,0.487732
11.0,-0.685368,0.320406,0.538494
11.02,-0.690087,-0.054741,0.629926
11.04,-0.443866,0.107768,0.903084
11.06,-0.387887,0.157459,0.765657
11.08,-0.235888,0.057072,0.488914
11.1,-0.065246,-0.126386,0.630608
11.12,-0.222832,-0.087164,0.420247
11.14,0.323085,-0.038265,0.345572
11.16,0.214076,0.201262,0.374212
11.18,0.379407,0.129372,0.286153
11.2,0.251632,0.624771,0.048072
11.22,1.008861,1.483137,-0.11688
11.24,0.744438,2.802776,-0.188385
11.26,0.465049,4.373161,-0.486854
11.28,0.622097,4.719893,-0.584688
11.3,0.506574,3.954921,-0.555458
11.32,0.258075,2.57396,-0.884999
11.34,0.203299,1.195168,-0.608268
11.36,0.432053,1.143057,-0.806336
11.38,-0.065994,0.245173,-0.523272
11.4,-0.305957,0.555589,-0.776902
11.42,0.055714,0.802464,-0.419087
11.44,-0.130834,1.405921,-0.377086
11.46,-0.662993,1.725301,-0.31897
11.48,-0.901453,1.859716,-0.05864
11.5,-0.82464,1.241212,-0.043805
11.52,-0.677057,1.038078,0.101878
11.54,-0.745455,0.728626,0.338806
11.56,-0.576617,0.294857,0.622278
11.58,-0.521499,0.318727,0.684542
11.6,-0.277373,0.302341,0.531328
11.62,-0.163875,0.372659,0.647598
